foreign_worker,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,sex,Y
1,36.0,2299.0,4.0,4.0,39.0,1.0,1.0,1,1
1,12.0,1412.0,4.0,2.0,29.0,2.0,1.0,0,1
1,12.0,2002.0,3.0,4.0,30.0,1.0,2.0,1,1
1,18.0,2249.0,4.0,3.0,30.0,1.0,2.0,1,1
1,18.0,1216.0,4.0,3.0,23.0,1.0,1.0,0,0
1,36.0,2299.0,4.0,4.0,39.0,1.0,1.0,1,1
1,12.0,585.0,4.0,4.0,20.0,2.0,1.0,1,1
1,18.0,1169.0,4.0,3.0,29.0,2.0,1.0,1,1
1,12.0,804.0,4.0,4.0,38.0,1.0,1.0,1,1
1,24.0,2397.0,3.0,2.0,35.0,2.0,1.0,1,0
1,24.0,5511.0,4.0,1.0,25.0,1.0,1.0,1,1
1,24.0,3552.0,3.0,4.0,27.0,1.0,1.0,1,0
1,12.0,1935.0,4.0,4.0,43.0,3.0,1.0,1,1
1,24.0,4591.0,2.0,3.0,54.0,3.0,1.0,1,0
1,15.0,3186.0,2.0,3.0,20.0,1.0,1.0,0,1
1,24.0,1755.0,4.0,4.0,58.0,1.0,1.0,0,1
1,24.0,1413.0,4.0,2.0,28.0,1.0,1.0,1,1
1,27.0,2442.0,4.0,4.0,43.0,4.0,2.0,1,1
1,27.0,5293.0,2.0,4.0,50.0,2.0,1.0,1,0
1,18.0,3229.0,2.0,4.0,38.0,1.0,1.0,1,1
1,24.0,7814.0,3.0,3.0,38.0,1.0,1.0,1,1
1,24.0,1901.0,4.0,4.0,29.0,1.0,1.0,1,1
1,60.0,7297.0,4.0,4.0,36.0,1.0,1.0,1,0
1,12.0,3077.0,2.0,4.0,52.0,1.0,1.0,1,1
1,21.0,2476.0,4.0,4.0,46.0,1.0,1.0,1,1
1,9.0,790.0,4.0,3.0,66.0,1.0,1.0,0,1
1,27.0,5117.0,3.0,4.0,26.0,2.0,1.0,1,1
1,15.0,1478.0,4.0,4.0,44.0,2.0,2.0,1,1
1,12.0,841.0,2.0,4.0,23.0,1.0,1.0,0,1
1,24.0,3617.0,4.0,4.0,20.0,2.0,1.0,1,1
1,9.0,2030.0,2.0,1.0,24.0,1.0,1.0,1,1
1,6.0,1047.0,2.0,4.0,50.0,1.0,1.0,0,1
1,10.0,1309.0,4.0,4.0,27.0,1.0,1.0,1,0
1,18.0,1055.0,4.0,1.0,30.0,2.0,1.0,0,1
1,12.0,3617.0,1.0,4.0,28.0,3.0,1.0,1,1
1,36.0,5848.0,4.0,1.0,24.0,1.0,1.0,1,1
1,12.0,976.0,4.0,4.0,35.0,2.0,1.0,1,1
1,12.0,707.0,4.0,2.0,30.0,2.0,1.0,1,1
1,18.0,1820.0,2.0,2.0,30.0,1.0,1.0,1,1
0,10.0,1924.0,1.0,4.0,38.0,1.0,1.0,1,1
1,30.0,2406.0,4.0,4.0,23.0,1.0,1.0,0,0
1,18.0,1924.0,4.0,3.0,27.0,1.0,1.0,0,0
1,6.0,3518.0,2.0,3.0,26.0,1.0,1.0,1,1
1,12.0,1484.0,2.0,1.0,25.0,1.0,1.0,1,0
1,18.0,1216.0,4.0,3.0,23.0,1.0,1.0,0,0
1,12.0,1240.0,4.0,2.0,38.0,2.0,1.0,0,1
1,6.0,2063.0,4.0,3.0,30.0,1.0,1.0,1,1
1,36.0,2746.0,4.0,4.0,31.0,1.0,1.0,1,0
1,42.0,5954.0,2.0,1.0,41.0,2.0,1.0,0,1
1,30.0,1867.0,4.0,4.0,58.0,1.0,1.0,1,1
1,18.0,2600.0,4.0,4.0,65.0,2.0,1.0,1,0
1,27.0,2528.0,4.0,1.0,32.0,1.0,2.0,0,1
1,36.0,9398.0,1.0,4.0,28.0,1.0,1.0,1,0
1,18.0,1582.0,4.0,4.0,46.0,2.0,1.0,1,1
1,24.0,2872.0,3.0,4.0,36.0,1.0,2.0,1,1
1,24.0,1525.0,4.0,3.0,34.0,1.0,2.0,0,1
1,24.0,2996.0,2.0,4.0,20.0,1.0,1.0,1,0
1,18.0,1941.0,4.0,2.0,35.0,1.0,1.0,1,1
1,24.0,1249.0,4.0,2.0,28.0,1.0,1.0,1,1
1,15.0,2221.0,2.0,4.0,20.0,1.0,1.0,0,1
1,18.0,2864.0,2.0,1.0,34.0,1.0,2.0,1,0
1,36.0,8133.0,1.0,2.0,30.0,1.0,1.0,0,1
1,12.0,902.0,4.0,4.0,21.0,1.0,1.0,1,0
1,12.0,2251.0,1.0,2.0,46.0,1.0,1.0,0,1
1,48.0,5381.0,3.0,4.0,40.0,1.0,1.0,1,1
1,6.0,1352.0,1.0,2.0,23.0,1.0,1.0,0,1
1,20.0,3485.0,2.0,4.0,44.0,2.0,1.0,1,1
1,30.0,3832.0,2.0,1.0,22.0,1.0,1.0,1,1
1,30.0,1908.0,4.0,4.0,66.0,1.0,1.0,1,0
1,30.0,6742.0,2.0,3.0,36.0,2.0,1.0,1,1
1,48.0,10297.0,4.0,4.0,39.0,3.0,2.0,1,0
1,24.0,3863.0,1.0,2.0,32.0,1.0,1.0,1,1
1,36.0,3079.0,4.0,4.0,36.0,1.0,1.0,1,1
1,12.0,1255.0,4.0,4.0,61.0,2.0,1.0,1,1
1,15.0,2360.0,2.0,2.0,36.0,1.0,1.0,1,1
1,12.0,3016.0,3.0,1.0,24.0,1.0,1.0,1,1
1,12.0,691.0,4.0,3.0,35.0,2.0,1.0,1,0
1,21.0,2782.0,1.0,2.0,31.0,1.0,1.0,0,1
1,12.0,3124.0,1.0,3.0,49.0,2.0,2.0,1,1
1,24.0,8648.0,2.0,2.0,27.0,2.0,1.0,1,0
1,6.0,672.0,1.0,4.0,54.0,1.0,1.0,0,1
1,4.0,601.0,1.0,3.0,23.0,1.0,2.0,0,1
1,36.0,3079.0,4.0,4.0,36.0,1.0,1.0,1,1
1,12.0,2279.0,4.0,4.0,37.0,1.0,1.0,1,1
1,36.0,2337.0,4.0,4.0,36.0,1.0,1.0,1,1
1,12.0,2121.0,4.0,2.0,30.0,2.0,1.0,1,1
1,24.0,7758.0,2.0,4.0,29.0,1.0,1.0,0,1
1,30.0,8072.0,2.0,3.0,25.0,3.0,1.0,1,1
1,9.0,3195.0,1.0,2.0,33.0,1.0,1.0,0,1
1,12.0,674.0,4.0,1.0,20.0,1.0,1.0,1,0
0,24.0,3632.0,1.0,4.0,22.0,1.0,1.0,0,1
1,24.0,1755.0,4.0,4.0,58.0,1.0,1.0,0,1
1,18.0,2238.0,2.0,1.0,25.0,2.0,1.0,0,1
1,60.0,7297.0,4.0,4.0,36.0,1.0,1.0,1,0
1,6.0,1209.0,4.0,4.0,47.0,1.0,1.0,1,0
1,9.0,1670.0,4.0,2.0,22.0,1.0,1.0,0,0
1,27.0,3915.0,4.0,2.0,36.0,1.0,2.0,1,0
1,24.0,2679.0,4.0,1.0,29.0,1.0,1.0,0,1
1,18.0,3872.0,2.0,4.0,67.0,1.0,1.0,0,1
1,18.0,2278.0,3.0,3.0,28.0,2.0,1.0,0,0
1,24.0,1376.0,4.0,1.0,28.0,1.0,1.0,0,1
1,9.0,3195.0,1.0,2.0,33.0,1.0,1.0,0,1
1,6.0,1209.0,4.0,4.0,47.0,1.0,1.0,1,0
1,24.0,6967.0,4.0,4.0,36.0,1.0,1.0,1,1
1,21.0,2288.0,4.0,4.0,23.0,1.0,1.0,0,1
1,36.0,7127.0,2.0,4.0,23.0,2.0,1.0,0,0
1,18.0,1055.0,4.0,1.0,30.0,2.0,1.0,0,1
1,36.0,5711.0,4.0,2.0,38.0,2.0,1.0,1,1
1,5.0,3448.0,1.0,4.0,74.0,1.0,1.0,1,1
1,15.0,1478.0,4.0,4.0,44.0,2.0,2.0,1,1
1,18.0,6070.0,3.0,4.0,33.0,2.0,1.0,1,1
1,12.0,708.0,2.0,3.0,38.0,1.0,2.0,1,1
1,36.0,9857.0,1.0,3.0,31.0,2.0,2.0,1,1
1,20.0,2212.0,4.0,4.0,39.0,1.0,1.0,1,1
1,27.0,8613.0,2.0,2.0,27.0,2.0,1.0,1,1
1,60.0,6836.0,3.0,4.0,63.0,2.0,1.0,1,0
1,24.0,3105.0,4.0,2.0,25.0,2.0,1.0,1,1
1,18.0,4594.0,3.0,2.0,32.0,1.0,1.0,1,1
1,12.0,1386.0,2.0,2.0,26.0,1.0,1.0,0,0
1,15.0,1845.0,4.0,1.0,46.0,1.0,1.0,0,1
1,7.0,2329.0,1.0,1.0,45.0,1.0,1.0,0,1
1,18.0,1028.0,4.0,3.0,36.0,2.0,1.0,0,1
1,24.0,3234.0,4.0,4.0,23.0,1.0,1.0,0,0
1,39.0,14179.0,4.0,4.0,30.0,2.0,1.0,1,1
1,24.0,5743.0,2.0,4.0,24.0,2.0,1.0,0,1
1,12.0,1935.0,4.0,4.0,43.0,3.0,1.0,1,1
1,15.0,2326.0,2.0,4.0,27.0,1.0,1.0,1,1
1,6.0,1750.0,2.0,4.0,45.0,1.0,2.0,1,1
1,12.0,1657.0,2.0,2.0,27.0,1.0,1.0,1,1
1,12.0,1655.0,2.0,4.0,63.0,2.0,1.0,1,1
1,24.0,717.0,4.0,4.0,54.0,2.0,1.0,1,1
1,30.0,2333.0,4.0,2.0,30.0,1.0,1.0,1,1
1,18.0,2864.0,2.0,1.0,34.0,1.0,2.0,1,0
1,20.0,2212.0,4.0,4.0,39.0,1.0,1.0,1,1
1,12.0,951.0,4.0,4.0,27.0,4.0,1.0,0,0
1,24.0,3660.0,2.0,4.0,28.0,1.0,1.0,0,1
1,12.0,888.0,4.0,4.0,41.0,1.0,2.0,1,0
1,9.0,936.0,4.0,2.0,52.0,2.0,1.0,1,1
1,12.0,1264.0,4.0,4.0,57.0,1.0,1.0,1,1
1,9.0,790.0,4.0,3.0,66.0,1.0,1.0,0,1
1,21.0,2580.0,4.0,2.0,41.0,1.0,2.0,1,0
1,6.0,2063.0,4.0,3.0,30.0,1.0,1.0,1,1
1,12.0,1963.0,4.0,2.0,31.0,2.0,2.0,1,1
1,10.0,1048.0,4.0,4.0,23.0,1.0,1.0,1,1
1,12.0,7472.0,1.0,2.0,24.0,1.0,1.0,0,1
1,9.0,1154.0,2.0,4.0,37.0,3.0,1.0,1,1
1,24.0,5804.0,4.0,2.0,27.0,2.0,1.0,1,1
1,12.0,1657.0,2.0,2.0,27.0,1.0,1.0,1,1
1,48.0,10297.0,4.0,4.0,39.0,3.0,2.0,1,0
1,12.0,1223.0,1.0,1.0,46.0,2.0,1.0,1,0
1,24.0,2578.0,2.0,2.0,34.0,1.0,1.0,1,1
1,12.0,1107.0,2.0,2.0,20.0,1.0,2.0,1,1
1,13.0,882.0,4.0,4.0,23.0,2.0,1.0,1,1
1,24.0,3021.0,2.0,2.0,24.0,1.0,1.0,1,1
1,30.0,7596.0,1.0,4.0,63.0,2.0,1.0,1,1
1,36.0,9055.0,2.0,4.0,35.0,1.0,2.0,1,1
1,48.0,3979.0,4.0,1.0,41.0,2.0,2.0,1,1
1,6.0,2647.0,2.0,3.0,44.0,1.0,2.0,1,1
1,36.0,9857.0,1.0,3.0,31.0,2.0,2.0,1,1
1,9.0,918.0,4.0,1.0,30.0,1.0,1.0,0,0
1,48.0,2751.0,4.0,3.0,38.0,2.0,2.0,1,1
1,36.0,3835.0,2.0,4.0,45.0,1.0,1.0,0,1
1,10.0,727.0,4.0,4.0,46.0,1.0,1.0,1,1
1,15.0,2687.0,2.0,4.0,26.0,1.0,1.0,1,1
1,18.0,5866.0,2.0,2.0,30.0,2.0,1.0,1,1
1,18.0,1217.0,4.0,3.0,47.0,1.0,1.0,1,0
1,9.0,2030.0,2.0,1.0,24.0,1.0,1.0,1,1
1,24.0,4870.0,3.0,4.0,53.0,2.0,2.0,1,0
1,36.0,7855.0,4.0,2.0,25.0,2.0,1.0,0,0
1,42.0,6289.0,2.0,1.0,33.0,2.0,1.0,1,1
1,24.0,2022.0,4.0,4.0,37.0,1.0,1.0,0,1
1,21.0,571.0,4.0,4.0,65.0,2.0,1.0,1,1
1,24.0,7814.0,3.0,3.0,38.0,1.0,1.0,1,1
1,15.0,1360.0,4.0,2.0,31.0,2.0,1.0,1,1
1,12.0,2366.0,3.0,3.0,36.0,1.0,1.0,1,1
1,24.0,3757.0,4.0,4.0,62.0,1.0,1.0,0,1
1,24.0,2828.0,4.0,4.0,22.0,1.0,1.0,1,1
1,12.0,2246.0,3.0,3.0,60.0,2.0,1.0,1,0
1,24.0,1413.0,4.0,2.0,28.0,1.0,1.0,1,1
1,36.0,1842.0,4.0,4.0,34.0,1.0,1.0,0,0
1,36.0,3913.0,2.0,2.0,23.0,1.0,1.0,1,1
1,24.0,5943.0,1.0,1.0,44.0,2.0,1.0,0,0
1,24.0,1987.0,2.0,4.0,21.0,1.0,2.0,1,0
1,24.0,6419.0,2.0,4.0,44.0,2.0,2.0,0,1
1,48.0,7238.0,3.0,3.0,32.0,2.0,2.0,1,1
1,30.0,3077.0,3.0,2.0,40.0,2.0,2.0,1,1
1,24.0,1755.0,4.0,4.0,58.0,1.0,1.0,0,1
1,15.0,4623.0,3.0,2.0,40.0,1.0,1.0,1,0
1,12.0,1372.0,2.0,3.0,36.0,1.0,1.0,1,0
1,36.0,5371.0,3.0,2.0,28.0,2.0,1.0,1,1
1,27.0,3416.0,3.0,2.0,27.0,1.0,1.0,1,1
1,54.0,9436.0,2.0,2.0,39.0,1.0,2.0,1,1
1,9.0,2753.0,3.0,4.0,35.0,1.0,1.0,1,1
1,18.0,1126.0,4.0,2.0,21.0,1.0,1.0,0,1
1,30.0,3496.0,4.0,2.0,34.0,1.0,2.0,1,1
1,24.0,5511.0,4.0,1.0,25.0,1.0,1.0,1,1
1,6.0,433.0,4.0,2.0,24.0,1.0,2.0,0,0
1,12.0,1258.0,2.0,4.0,22.0,2.0,1.0,0,1
1,36.0,3342.0,4.0,2.0,51.0,1.0,1.0,1,1
1,13.0,1409.0,2.0,4.0,64.0,1.0,1.0,0,1
1,12.0,763.0,4.0,1.0,26.0,1.0,1.0,0,1
1,6.0,362.0,4.0,4.0,52.0,2.0,1.0,0,1
1,9.0,2301.0,2.0,4.0,22.0,1.0,1.0,0,1
1,9.0,1337.0,4.0,2.0,34.0,2.0,1.0,1,0
1,6.0,1750.0,2.0,4.0,45.0,1.0,2.0,1,1
1,12.0,522.0,4.0,4.0,42.0,2.0,2.0,1,1
1,24.0,2872.0,3.0,4.0,36.0,1.0,2.0,1,1
1,12.0,797.0,4.0,3.0,33.0,1.0,2.0,0,0
1,15.0,2788.0,2.0,3.0,24.0,2.0,1.0,0,1
1,12.0,701.0,4.0,2.0,40.0,1.0,1.0,1,1
1,12.0,409.0,3.0,3.0,42.0,2.0,1.0,0,1
1,30.0,3496.0,4.0,2.0,34.0,1.0,2.0,1,1
1,36.0,7980.0,4.0,4.0,27.0,2.0,1.0,1,0
1,10.0,781.0,4.0,4.0,63.0,2.0,1.0,1,1
1,12.0,763.0,4.0,1.0,26.0,1.0,1.0,0,1
1,12.0,1393.0,4.0,4.0,47.0,3.0,2.0,1,1
1,15.0,2708.0,2.0,3.0,27.0,2.0,1.0,1,1
1,18.0,2249.0,4.0,3.0,30.0,1.0,2.0,1,1
1,9.0,1366.0,3.0,4.0,22.0,1.0,1.0,0,0
1,9.0,2697.0,1.0,2.0,32.0,1.0,2.0,1,1
1,6.0,683.0,2.0,1.0,29.0,1.0,1.0,0,1
1,6.0,2063.0,4.0,3.0,30.0,1.0,1.0,1,1
1,24.0,3749.0,2.0,4.0,26.0,1.0,1.0,0,1
1,12.0,1657.0,2.0,2.0,27.0,1.0,1.0,1,1
1,42.0,3965.0,4.0,3.0,34.0,1.0,1.0,1,0
1,33.0,7253.0,3.0,2.0,35.0,2.0,1.0,1,1
1,12.0,385.0,4.0,3.0,58.0,4.0,1.0,0,1
1,12.0,795.0,4.0,4.0,53.0,1.0,1.0,0,0
1,8.0,760.0,4.0,2.0,44.0,1.0,1.0,0,1
1,24.0,7393.0,1.0,4.0,43.0,1.0,2.0,1,1
1,18.0,1820.0,2.0,2.0,30.0,1.0,1.0,1,1
1,39.0,4933.0,2.0,2.0,25.0,2.0,1.0,1,0
1,18.0,1473.0,3.0,4.0,39.0,1.0,1.0,1,1
1,15.0,392.0,4.0,4.0,23.0,1.0,1.0,0,1
1,18.0,2779.0,1.0,3.0,21.0,1.0,1.0,1,1
1,12.0,2149.0,4.0,1.0,29.0,1.0,1.0,1,0
1,15.0,874.0,4.0,1.0,24.0,1.0,1.0,0,1
