X1,X2,Z,Y
-2.052941,-0.732899,-1.0,0
-1.246887,-0.159397,1.0,1
-1.124441,-0.621856,1.0,0
-0.533604,0.499214,1.0,1
-1.991048,-1.380005,1.0,0
-1.289422,1.092881,1.0,1
0.744119,0.48213,1.0,1
-0.08423,-1.279667,1.0,1
-0.407157,-1.631265,1.0,0
0.20819,-0.416952,1.0,1
1.780231,-0.113802,-1.0,1
0.678811,0.227314,1.0,1
1.456356,0.110637,-1.0,1
-1.567066,-0.778438,-1.0,0
-0.538506,-2.476836,1.0,1
0.080952,-0.761012,-1.0,1
0.054621,0.617763,1.0,1
-0.00915,-0.637405,1.0,1
0.266289,0.976931,1.0,1
0.403707,0.005815,-1.0,1
-0.529885,-0.051854,1.0,0
-0.572873,1.323435,-1.0,1
1.063424,0.665555,-1.0,1
0.301145,0.933732,-1.0,1
0.423235,0.398585,-1.0,1
0.872355,1.374997,1.0,1
1.099333,0.203272,1.0,1
0.480043,1.191463,-1.0,1
-0.258888,0.921079,1.0,1
-1.122018,1.08699,1.0,1
0.007826,0.677118,1.0,1
-0.631713,-0.021501,-1.0,0
-0.132508,1.092977,1.0,1
0.321948,-0.404909,-1.0,1
-1.093581,-0.814409,-1.0,0
2.71516,-1.236067,1.0,1
-0.815038,-0.546289,1.0,1
-0.217613,-1.011423,-1.0,1
0.374352,-0.334848,1.0,1
0.104923,0.061634,-1.0,1
0.455672,0.752848,-1.0,1
1.724859,-1.187055,1.0,1
1.119483,0.378346,1.0,1
1.187325,0.79512,-1.0,1
0.077464,0.56854,-1.0,0
0.325638,1.068633,-1.0,1
0.577638,-0.588371,-1.0,1
-0.032166,0.127928,1.0,1
-0.557119,0.919221,1.0,1
0.178365,-0.721329,-1.0,0
-0.987253,0.91091,1.0,1
0.234539,-1.683932,1.0,0
-0.398792,-0.707986,1.0,1
0.958234,-0.464714,1.0,1
1.570425,0.40505,-1.0,1
-0.63889,-0.140465,1.0,1
-0.5682,0.499833,1.0,1
0.315476,0.129937,-1.0,1
-0.758014,-1.112568,1.0,0
-1.316657,-1.827495,1.0,1
-0.343739,1.223555,1.0,1
0.436337,0.089376,-1.0,1
0.380398,0.055962,1.0,1
0.951344,0.898289,1.0,1
0.508138,0.871011,1.0,1
1.320979,-0.127803,1.0,1
0.696773,0.101384,-1.0,1
0.107487,-0.632738,1.0,1
-0.894209,1.458816,1.0,1
-0.472819,-0.025993,-1.0,1
-0.110617,-0.118896,-1.0,1
-1.085348,1.834901,1.0,1
0.50629,1.47172,1.0,1
-0.475373,0.734576,-1.0,1
-1.720317,-0.695876,1.0,0
0.847279,0.185114,1.0,1
-1.141782,-1.345759,1.0,0
0.587955,0.516775,1.0,1
-0.015041,-0.160352,-1.0,0
-1.302634,1.444295,-1.0,1
0.715621,-0.255539,-1.0,0
0.379628,-1.37808,1.0,1
-1.459511,-0.28933,1.0,1
-1.642677,-0.667544,1.0,0
0.815671,0.221491,1.0,1
0.634127,-1.511279,1.0,1
-0.482484,-0.743747,-1.0,0
-1.566109,1.214011,-1.0,1
0.391252,-1.188957,-1.0,0
0.444631,-1.717004,1.0,0
0.66137,-0.754052,-1.0,1
-1.387091,-0.124259,1.0,0
0.364939,-0.357561,1.0,1
0.204654,0.827932,1.0,1
-0.359943,-0.442406,-1.0,0
0.169854,0.955079,1.0,1
1.06967,0.516008,1.0,1
-0.82792,-0.745338,1.0,1
-0.848269,0.70149,1.0,1
0.065619,2.325255,-1.0,1
2.043693,0.22004,1.0,1
-1.053356,0.735879,-1.0,0
0.398362,1.18401,-1.0,1
-1.140241,-0.907651,1.0,1
-0.236396,-0.392957,-1.0,1
0.125843,0.451484,-1.0,0
-1.322699,-0.078187,-1.0,0
-0.234447,-0.394938,-1.0,0
-0.374132,-1.549271,1.0,1
1.430541,1.190407,1.0,1
-0.411468,-0.043189,-1.0,1
-0.312273,-0.943793,1.0,0
1.177611,1.368293,1.0,1
-0.648438,-1.361367,-1.0,0
0.156864,-1.118115,1.0,0
-1.226998,0.709008,-1.0,0
-0.652596,-0.692419,-1.0,0
-0.081027,-0.79222,-1.0,0
1.234506,0.351014,1.0,1
0.416753,0.746114,-1.0,0
1.354254,0.098199,-1.0,0
0.648202,0.67231,-1.0,0
0.786042,2.031933,1.0,1
-2.335917,-0.88832,-1.0,0
0.436161,1.848968,1.0,1
0.111662,0.621067,1.0,1
0.236068,-0.371353,-1.0,1
-0.258864,-0.668582,-1.0,0
0.713882,-1.301401,1.0,1
1.323904,-0.800437,-1.0,1
-1.024365,0.367233,1.0,1
1.13729,0.492853,1.0,1
-1.037063,0.100297,-1.0,0
0.248061,-0.094382,1.0,1
0.784476,-0.572666,1.0,1
1.039853,-0.490711,1.0,1
-0.966389,-1.485503,-1.0,0
-0.60155,0.76614,-1.0,1
0.407747,0.793368,-1.0,1
0.220295,-0.450267,-1.0,1
0.930329,0.783517,1.0,1
0.248887,2.113696,1.0,1
-0.061165,0.793929,-1.0,0
1.125316,-1.083101,1.0,1
0.562704,-0.258636,1.0,1
0.995006,1.724601,1.0,1
-0.633635,-0.818336,1.0,1
-0.113325,-0.598038,-1.0,0
0.478378,-1.044159,-1.0,1
-0.610838,-0.254492,-1.0,0
-1.951051,0.514215,-1.0,0
0.223979,-0.172048,-1.0,0
-0.55661,-0.246031,-1.0,1
1.789727,-0.146036,1.0,1
1.1564,-0.828652,1.0,1
-0.716112,1.042935,1.0,1
0.403041,-0.649591,-1.0,1
