X1,X2,Z,Y
0.092907,-0.263096,1.0,1
0.488026,-0.972555,1.0,0
-0.553581,1.284617,-1.0,1
0.673574,1.609127,1.0,1
-0.088723,0.177554,1.0,0
1.25589,0.428509,-1.0,1
1.150634,1.527967,1.0,1
0.209336,-1.723426,-1.0,1
-1.233177,-1.25739,-1.0,0
0.674866,-1.466451,-1.0,1
-0.930098,-0.843198,-1.0,1
0.100175,-0.645172,-1.0,1
-1.128072,-2.143712,-1.0,1
-2.055421,1.496467,-1.0,1
1.862509,-2.492482,1.0,0
0.619699,-0.191946,1.0,1
0.833129,0.225103,1.0,0
-0.975542,1.122915,-1.0,1
0.765262,0.213447,1.0,1
-0.870354,-1.176742,-1.0,1
-0.579923,-1.528614,-1.0,0
0.071314,0.470936,1.0,1
-0.574687,-0.743976,-1.0,0
1.570646,1.076774,-1.0,1
-0.451029,0.523693,1.0,1
-0.852094,0.904053,-1.0,1
0.399761,-1.084448,-1.0,0
-1.630138,-0.060329,-1.0,1
-0.665324,-0.916849,-1.0,0
-0.257079,-1.145105,-1.0,0
0.228205,0.926584,1.0,1
0.307331,-0.427993,-1.0,1
-0.577847,-0.884501,-1.0,1
1.394279,-1.1266,-1.0,0
0.452793,0.655056,1.0,1
0.459822,-0.246649,1.0,1
1.197613,-0.614472,1.0,1
0.31086,1.103075,1.0,1
0.083455,-0.762125,-1.0,1
-0.835957,-0.039951,1.0,1
0.440028,1.675795,1.0,1
1.966685,-0.217728,1.0,0
-0.587759,-1.316501,-1.0,0
0.729221,0.886498,1.0,1
0.544816,0.035016,-1.0,1
1.337059,-0.917963,1.0,1
0.423684,-0.366843,1.0,1
-1.440733,0.159397,-1.0,1
-0.705819,-0.076702,-1.0,1
0.488715,0.823884,1.0,1
0.973023,1.713285,1.0,1
-1.282721,-0.5475,-1.0,1
0.128205,1.049051,1.0,1
1.706996,1.330802,1.0,1
-3.357062,-1.622044,-1.0,1
1.442237,0.131543,1.0,0
0.153972,0.17177,-1.0,0
-0.458335,-0.19366,-1.0,1
-0.681962,0.391916,1.0,1
0.454697,0.012884,1.0,0
-0.303193,-0.0314,-1.0,1
1.004837,0.683075,1.0,1
-0.940195,0.492897,-1.0,1
0.637321,0.486879,1.0,1
-1.547422,-0.089956,-1.0,1
-0.737422,0.596303,1.0,1
1.337336,1.032015,1.0,1
0.448474,1.301272,1.0,1
