foreign_worker,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,sex,Y
1,12.0,1542.0,2.0,4.0,36.0,1.0,1.0,1,1
1,15.0,1569.0,4.0,4.0,34.0,1.0,2.0,1,1
1,18.0,1795.0,3.0,4.0,48.0,2.0,1.0,0,1
1,15.0,1444.0,4.0,1.0,23.0,1.0,1.0,1,1
1,9.0,458.0,4.0,3.0,24.0,1.0,1.0,1,1
1,48.0,11590.0,2.0,4.0,24.0,2.0,1.0,0,0
1,12.0,797.0,4.0,3.0,33.0,1.0,2.0,0,0
1,36.0,1953.0,4.0,4.0,61.0,1.0,1.0,1,0
1,18.0,1098.0,4.0,4.0,65.0,2.0,1.0,0,1
1,21.0,12680.0,4.0,4.0,30.0,1.0,1.0,1,0
0,6.0,1204.0,4.0,1.0,35.0,1.0,1.0,1,1
1,24.0,1552.0,3.0,1.0,32.0,1.0,2.0,1,1
1,9.0,745.0,3.0,2.0,28.0,1.0,1.0,0,0
1,12.0,7472.0,1.0,2.0,24.0,1.0,1.0,0,1
1,6.0,1595.0,3.0,2.0,51.0,1.0,2.0,1,1
1,24.0,2284.0,4.0,2.0,28.0,1.0,1.0,1,1
1,9.0,1422.0,3.0,2.0,27.0,1.0,1.0,1,0
1,24.0,1311.0,4.0,3.0,26.0,1.0,1.0,1,1
1,12.0,1291.0,4.0,2.0,35.0,2.0,1.0,0,1
1,30.0,8072.0,2.0,3.0,25.0,3.0,1.0,1,1
1,24.0,2325.0,2.0,3.0,32.0,1.0,1.0,1,1
1,9.0,1154.0,2.0,4.0,37.0,3.0,1.0,1,1
1,9.0,1364.0,3.0,4.0,59.0,1.0,1.0,1,1
1,9.0,1313.0,1.0,4.0,20.0,1.0,1.0,1,1
1,60.0,14782.0,3.0,4.0,60.0,2.0,1.0,0,0
1,27.0,5117.0,3.0,4.0,26.0,2.0,1.0,1,1
1,9.0,5129.0,2.0,4.0,74.0,1.0,2.0,0,0
1,15.0,392.0,4.0,4.0,23.0,1.0,1.0,0,1
1,12.0,1498.0,4.0,1.0,23.0,1.0,1.0,0,1
1,6.0,1898.0,1.0,2.0,34.0,2.0,2.0,1,1
1,15.0,1471.0,4.0,4.0,35.0,2.0,1.0,1,1
1,48.0,5096.0,2.0,3.0,30.0,1.0,1.0,0,0
1,21.0,12680.0,4.0,4.0,30.0,1.0,1.0,1,0
1,21.0,571.0,4.0,4.0,65.0,2.0,1.0,1,1
1,24.0,1552.0,3.0,1.0,32.0,1.0,2.0,1,1
1,36.0,10477.0,2.0,4.0,42.0,2.0,1.0,1,1
1,24.0,3878.0,4.0,2.0,37.0,1.0,1.0,1,1
1,24.0,4526.0,3.0,2.0,74.0,1.0,1.0,1,1
1,36.0,4473.0,4.0,2.0,31.0,1.0,1.0,1,1
1,12.0,3447.0,4.0,3.0,35.0,1.0,2.0,0,1
1,18.0,2659.0,4.0,2.0,28.0,1.0,1.0,1,1
1,24.0,2255.0,4.0,1.0,54.0,1.0,1.0,1,1
1,9.0,2118.0,2.0,2.0,37.0,1.0,2.0,1,1
0,15.0,1053.0,4.0,2.0,27.0,1.0,1.0,1,1
1,36.0,2323.0,4.0,4.0,24.0,1.0,1.0,1,1
1,30.0,3622.0,4.0,4.0,57.0,2.0,1.0,0,1
1,24.0,2835.0,3.0,4.0,53.0,1.0,1.0,1,1
1,24.0,1525.0,4.0,3.0,34.0,1.0,2.0,0,1
1,6.0,6761.0,1.0,3.0,45.0,2.0,2.0,1,1
1,18.0,2515.0,3.0,4.0,43.0,1.0,1.0,1,1
1,12.0,1108.0,4.0,3.0,28.0,2.0,1.0,1,0
1,18.0,2473.0,4.0,1.0,25.0,1.0,1.0,1,0
1,24.0,947.0,4.0,3.0,38.0,1.0,2.0,1,0
1,18.0,2600.0,4.0,4.0,65.0,2.0,1.0,1,0
1,24.0,4042.0,3.0,4.0,43.0,2.0,1.0,1,1
1,6.0,1543.0,4.0,2.0,33.0,1.0,1.0,1,1
1,30.0,3832.0,2.0,1.0,22.0,1.0,1.0,1,1
1,47.0,10722.0,1.0,1.0,35.0,1.0,1.0,0,1
1,18.0,884.0,4.0,4.0,36.0,1.0,2.0,1,0
1,36.0,4795.0,4.0,1.0,30.0,1.0,1.0,0,1
1,30.0,3622.0,4.0,4.0,57.0,2.0,1.0,0,1
1,24.0,947.0,4.0,3.0,38.0,1.0,2.0,1,0
1,18.0,3650.0,1.0,4.0,22.0,1.0,1.0,0,1
1,6.0,484.0,3.0,3.0,28.0,1.0,1.0,1,1
1,6.0,1872.0,4.0,4.0,36.0,3.0,1.0,1,1
1,24.0,717.0,4.0,4.0,54.0,2.0,1.0,1,1
1,18.0,2238.0,2.0,1.0,25.0,2.0,1.0,0,1
1,48.0,6224.0,4.0,4.0,50.0,1.0,1.0,1,0
1,8.0,907.0,3.0,2.0,26.0,1.0,1.0,1,1
1,36.0,6887.0,4.0,3.0,29.0,1.0,1.0,1,0
1,48.0,3060.0,4.0,4.0,28.0,2.0,1.0,1,0
1,21.0,2767.0,4.0,2.0,61.0,2.0,1.0,1,0
1,42.0,5954.0,2.0,1.0,41.0,2.0,1.0,0,1
1,12.0,3527.0,2.0,3.0,45.0,1.0,2.0,1,1
1,6.0,14896.0,1.0,4.0,68.0,1.0,1.0,1,0
1,42.0,4042.0,4.0,4.0,36.0,2.0,1.0,1,1
1,12.0,1736.0,3.0,4.0,31.0,1.0,1.0,0,1
1,6.0,426.0,4.0,4.0,39.0,1.0,1.0,1,1
1,36.0,3342.0,4.0,2.0,51.0,1.0,1.0,1,1
1,18.0,6204.0,2.0,4.0,44.0,1.0,2.0,1,1
1,24.0,1344.0,4.0,2.0,37.0,2.0,2.0,1,0
1,6.0,14896.0,1.0,4.0,68.0,1.0,1.0,1,0
1,21.0,5003.0,1.0,4.0,29.0,2.0,1.0,0,0
1,24.0,3552.0,3.0,4.0,27.0,1.0,1.0,1,0
1,12.0,1995.0,4.0,1.0,27.0,1.0,1.0,1,1
1,18.0,1345.0,4.0,3.0,26.0,1.0,1.0,1,0
1,18.0,1473.0,3.0,4.0,39.0,1.0,1.0,1,1
1,12.0,3124.0,1.0,3.0,49.0,2.0,2.0,1,1
1,24.0,6967.0,4.0,4.0,36.0,1.0,1.0,1,1
1,15.0,3029.0,2.0,2.0,33.0,1.0,1.0,1,1
1,15.0,1213.0,4.0,3.0,47.0,1.0,1.0,1,1
1,24.0,2397.0,3.0,2.0,35.0,2.0,1.0,1,0
1,12.0,836.0,4.0,2.0,23.0,1.0,1.0,0,0
1,12.0,4843.0,3.0,4.0,43.0,2.0,1.0,1,0
1,6.0,1237.0,1.0,1.0,27.0,2.0,1.0,0,1
1,24.0,1603.0,4.0,4.0,55.0,1.0,1.0,0,1
1,13.0,1409.0,2.0,4.0,64.0,1.0,1.0,0,1
1,16.0,2625.0,2.0,4.0,43.0,1.0,1.0,1,0
0,10.0,2241.0,1.0,3.0,48.0,2.0,2.0,1,1
1,24.0,1935.0,4.0,4.0,31.0,2.0,1.0,1,0
1,27.0,5190.0,4.0,4.0,48.0,4.0,2.0,1,1
1,48.0,3844.0,4.0,4.0,34.0,1.0,2.0,1,0
1,21.0,1188.0,2.0,4.0,39.0,1.0,2.0,0,0
1,15.0,1778.0,2.0,1.0,26.0,2.0,1.0,0,0
1,18.0,1961.0,3.0,2.0,23.0,1.0,1.0,0,1
1,18.0,1924.0,4.0,3.0,27.0,1.0,1.0,0,0
1,30.0,4249.0,4.0,2.0,28.0,2.0,1.0,1,0
1,18.0,5302.0,2.0,4.0,36.0,3.0,1.0,1,1
1,12.0,685.0,2.0,3.0,25.0,1.0,1.0,1,0
1,12.0,1409.0,4.0,3.0,54.0,1.0,1.0,1,1
1,36.0,7980.0,4.0,4.0,27.0,2.0,1.0,1,0
1,30.0,4280.0,4.0,4.0,26.0,2.0,1.0,0,0
1,9.0,1366.0,3.0,4.0,22.0,1.0,1.0,0,0
0,10.0,2241.0,1.0,3.0,48.0,2.0,2.0,1,1
1,18.0,4594.0,3.0,2.0,32.0,1.0,1.0,1,1
0,10.0,2241.0,1.0,3.0,48.0,2.0,2.0,1,1
1,36.0,4686.0,2.0,2.0,32.0,1.0,1.0,1,1
1,9.0,936.0,4.0,2.0,52.0,2.0,1.0,1,1
1,24.0,1371.0,4.0,4.0,25.0,1.0,1.0,0,0
1,24.0,11938.0,2.0,3.0,39.0,2.0,2.0,1,0
1,12.0,707.0,4.0,2.0,30.0,2.0,1.0,1,1
1,12.0,1255.0,4.0,4.0,61.0,2.0,1.0,1,1
1,36.0,9398.0,1.0,4.0,28.0,1.0,1.0,1,0
1,33.0,2764.0,2.0,2.0,26.0,2.0,1.0,0,1
1,18.0,4594.0,3.0,2.0,32.0,1.0,1.0,1,1
1,12.0,2141.0,3.0,1.0,35.0,1.0,1.0,1,1
1,12.0,2141.0,3.0,1.0,35.0,1.0,1.0,1,1
1,9.0,2507.0,2.0,4.0,51.0,1.0,1.0,1,1
1,12.0,976.0,4.0,4.0,35.0,2.0,1.0,1,1
1,10.0,1275.0,4.0,2.0,23.0,1.0,1.0,0,1
1,15.0,2511.0,1.0,4.0,23.0,1.0,1.0,0,1
1,12.0,652.0,4.0,4.0,24.0,1.0,1.0,0,1
1,12.0,409.0,3.0,3.0,42.0,2.0,1.0,0,1
1,30.0,8386.0,2.0,2.0,49.0,1.0,1.0,1,0
1,48.0,7119.0,3.0,4.0,53.0,2.0,2.0,1,0
1,48.0,8358.0,1.0,1.0,30.0,2.0,1.0,0,1
1,36.0,7980.0,4.0,4.0,27.0,2.0,1.0,1,0
1,12.0,1291.0,4.0,2.0,35.0,2.0,1.0,0,1
1,26.0,7966.0,2.0,3.0,30.0,2.0,1.0,1,1
1,36.0,9572.0,1.0,1.0,28.0,2.0,1.0,1,0
1,24.0,2255.0,4.0,1.0,54.0,1.0,1.0,1,1
1,8.0,907.0,3.0,2.0,26.0,1.0,1.0,1,1
1,16.0,2625.0,2.0,4.0,43.0,1.0,1.0,1,0
1,48.0,8487.0,1.0,2.0,24.0,1.0,1.0,0,1
0,6.0,1204.0,4.0,1.0,35.0,1.0,1.0,1,1
1,15.0,2788.0,2.0,3.0,24.0,2.0,1.0,0,1
1,24.0,5433.0,2.0,4.0,26.0,1.0,1.0,0,1
1,9.0,1154.0,2.0,4.0,37.0,3.0,1.0,1,1
0,6.0,1299.0,1.0,1.0,74.0,3.0,2.0,1,1
1,12.0,3565.0,2.0,1.0,37.0,2.0,2.0,1,1
1,28.0,7824.0,3.0,4.0,40.0,2.0,2.0,1,1
1,24.0,7758.0,2.0,4.0,29.0,1.0,1.0,0,1
1,15.0,1275.0,4.0,2.0,24.0,1.0,1.0,0,0
1,24.0,1199.0,4.0,4.0,60.0,2.0,1.0,1,0
1,36.0,9572.0,1.0,1.0,28.0,2.0,1.0,1,0
1,6.0,3676.0,1.0,3.0,37.0,3.0,2.0,1,1
0,9.0,3577.0,1.0,2.0,26.0,1.0,2.0,1,1
1,42.0,4042.0,4.0,4.0,36.0,2.0,1.0,1,1
1,24.0,3161.0,4.0,2.0,31.0,1.0,1.0,1,0
1,30.0,1867.0,4.0,4.0,58.0,1.0,1.0,1,1
1,24.0,6872.0,2.0,1.0,55.0,1.0,1.0,1,0
1,18.0,2775.0,2.0,2.0,31.0,2.0,1.0,1,0
1,11.0,4771.0,2.0,4.0,51.0,1.0,1.0,1,1
1,15.0,1271.0,3.0,4.0,39.0,2.0,1.0,1,0
1,24.0,4110.0,3.0,4.0,23.0,2.0,2.0,1,0
1,42.0,3965.0,4.0,3.0,34.0,1.0,1.0,1,0
1,48.0,6331.0,4.0,4.0,46.0,2.0,1.0,1,0
1,18.0,866.0,4.0,2.0,25.0,1.0,1.0,1,1
1,36.0,9572.0,1.0,1.0,28.0,2.0,1.0,1,0
1,6.0,753.0,2.0,3.0,64.0,1.0,1.0,0,1
1,36.0,8086.0,2.0,4.0,42.0,4.0,1.0,1,0
1,12.0,888.0,4.0,4.0,41.0,1.0,2.0,1,0
1,60.0,6288.0,4.0,4.0,42.0,1.0,1.0,1,0
1,24.0,2872.0,3.0,4.0,36.0,1.0,2.0,1,1
1,30.0,3656.0,4.0,4.0,49.0,2.0,1.0,1,1
1,12.0,2121.0,4.0,2.0,30.0,2.0,1.0,1,1
1,20.0,2212.0,4.0,4.0,39.0,1.0,1.0,1,1
1,24.0,4241.0,1.0,4.0,36.0,3.0,1.0,1,0
1,24.0,3345.0,4.0,2.0,39.0,1.0,1.0,1,0
1,12.0,3499.0,3.0,2.0,29.0,2.0,1.0,0,0
1,24.0,1901.0,4.0,4.0,29.0,1.0,1.0,1,1
1,4.0,3380.0,1.0,1.0,37.0,1.0,2.0,0,1
1,48.0,10222.0,4.0,3.0,37.0,1.0,1.0,1,1
0,9.0,1288.0,3.0,4.0,48.0,2.0,2.0,1,1
1,9.0,276.0,4.0,4.0,22.0,1.0,1.0,1,1
1,48.0,7582.0,2.0,4.0,31.0,1.0,1.0,1,1
1,18.0,3213.0,1.0,3.0,25.0,1.0,1.0,1,1
