X1,X2,Z,Y
0.030726,0.049636,1.0,1
0.493272,0.466316,-1.0,0
-0.051317,0.52387,1.0,1
0.036485,0.091802,-1.0,1
-0.128562,-0.464076,1.0,1
1.563798,0.634273,1.0,1
-1.36403,1.09578,1.0,1
-1.649678,-1.373081,-1.0,1
0.408547,-0.536729,-1.0,1
-0.45782,0.345426,1.0,0
-0.723329,1.37488,-1.0,0
1.07078,-1.699644,-1.0,0
-0.778954,0.048072,1.0,1
-0.566957,-0.446586,-1.0,0
0.112845,-0.697205,1.0,1
0.342295,-1.1228,-1.0,1
-1.002301,-0.884738,-1.0,1
-2.037728,0.553499,-1.0,1
-0.403473,2.806164,1.0,1
-0.903915,2.073981,1.0,1
1.816129,-0.755041,1.0,0
-0.403695,1.093603,1.0,1
1.124049,-0.815966,-1.0,0
-0.332579,-0.033707,-1.0,1
1.622164,-1.98592,-1.0,0
-0.282227,0.204488,-1.0,1
0.229218,0.937453,1.0,1
0.521635,0.618425,1.0,1
0.827892,-1.510863,-1.0,0
0.339778,-2.450198,-1.0,0
0.332945,-0.02421,-1.0,1
-0.152394,-0.750966,-1.0,1
-0.476785,-0.028214,1.0,1
0.585342,1.918564,1.0,1
0.30324,-0.81895,1.0,0
-0.188016,0.686949,1.0,1
0.323547,-0.526645,-1.0,0
0.131467,0.861519,1.0,1
-0.89505,0.912343,1.0,1
-1.796608,0.069776,-1.0,1
-0.829199,0.529338,1.0,1
-0.259397,-0.675075,-1.0,1
-0.735325,-0.106006,-1.0,1
-0.707352,-0.028319,-1.0,1
-0.761852,0.878675,-1.0,1
-1.250936,-0.743212,1.0,0
0.160055,-0.649508,-1.0,1
0.735843,0.074387,1.0,1
-0.218908,0.72036,1.0,1
-0.870504,-0.201526,1.0,1
0.064475,0.500928,1.0,1
-0.372209,0.039536,-1.0,1
-0.201062,0.76978,1.0,1
0.128215,0.193656,-1.0,1
0.39825,0.746892,1.0,1
0.648616,-0.5002,-1.0,1
-0.31199,-0.258886,-1.0,1
-1.181567,1.057314,-1.0,1
-1.958816,-0.026544,1.0,1
0.45944,-0.33979,-1.0,1
-0.796709,1.085831,1.0,1
-0.418706,2.65235,1.0,1
2.268794,0.0103,1.0,0
-0.925004,1.080338,1.0,1
0.969544,0.538088,1.0,1
0.690034,-0.363955,1.0,0
-1.079368,-0.01316,1.0,1
1.172796,-2.497154,-1.0,0
-1.313761,1.797609,1.0,1
-0.20403,-0.366605,-1.0,0
-1.131502,0.490147,-1.0,1
-1.784316,1.270745,-1.0,1
1.527086,-0.111506,-1.0,1
-0.54847,-0.108528,1.0,1
-1.240593,1.198136,1.0,1
-0.542856,0.397533,1.0,1
-0.196827,1.184213,1.0,1
1.838764,0.428424,1.0,1
-0.866513,0.814715,-1.0,1
0.960952,-0.144724,-1.0,1
-0.112109,-0.024587,1.0,1
0.132553,-1.197582,-1.0,1
0.136177,-0.391166,-1.0,0
0.00679,-0.417847,-1.0,0
-1.294511,2.128499,1.0,1
-0.899202,-0.051101,1.0,1
1.186831,0.952546,1.0,1
0.900407,0.37407,1.0,0
0.059964,-1.107877,-1.0,0
-0.033345,0.466091,-1.0,1
-0.322466,2.742813,1.0,1
0.090453,-0.602292,-1.0,1
0.490577,-1.515159,-1.0,1
1.539989,-0.874151,-1.0,0
-0.25612,0.628496,1.0,1
0.270772,-0.918028,-1.0,1
-0.860891,-0.868666,-1.0,0
0.34752,0.01419,1.0,1
1.282092,0.773998,1.0,1
-0.196375,2.433275,1.0,1
-0.791867,1.432862,-1.0,1
1.324931,-0.836557,1.0,1
0.24502,-0.091319,-1.0,1
-1.314641,-0.083796,-1.0,1
0.584599,-1.555199,-1.0,0
-0.283162,-1.453516,1.0,1
0.840103,-0.520339,-1.0,1
0.37226,1.07156,1.0,1
0.640748,-1.070024,1.0,0
0.818364,-0.054254,1.0,0
0.078119,-1.736693,-1.0,0
0.770325,-0.101417,1.0,1
1.259218,-1.235463,1.0,1
-0.859596,-0.180947,1.0,0
0.075206,1.22138,1.0,1
-0.199587,-0.847771,-1.0,1
-0.492342,-1.060234,-1.0,0
0.451004,-0.957543,-1.0,0
-1.985192,1.500453,1.0,1
-0.155224,-0.948961,1.0,1
-0.287111,-0.400691,-1.0,1
-1.551563,-0.821986,1.0,1
1.047103,-2.223995,-1.0,0
-2.352473,-0.074463,-1.0,1
1.157742,0.737475,-1.0,1
0.854935,-0.334388,-1.0,0
-0.013196,0.919348,-1.0,1
0.505088,0.836106,-1.0,1
0.724104,-0.309185,-1.0,1
-0.233978,1.840049,1.0,1
0.95816,-0.69575,-1.0,1
0.038657,-0.905096,-1.0,1
1.175296,0.032804,1.0,1
-1.775786,0.054823,-1.0,0
-1.689268,1.478769,1.0,1
0.454462,-0.148105,1.0,1
-1.355233,1.027884,1.0,1
-1.014919,0.48881,-1.0,0
0.733222,0.519099,1.0,1
-0.551587,-1.000449,1.0,0
0.633099,-2.061112,-1.0,0
-0.66601,0.82694,1.0,1
1.946352,-0.701554,1.0,1
-0.237901,-0.754156,-1.0,1
-0.731414,0.05873,-1.0,1
1.058989,-1.890308,-1.0,0
0.554318,-2.336442,-1.0,0
-0.270172,-0.104961,-1.0,1
0.531932,2.100384,1.0,1
1.305749,1.108978,1.0,0
0.218327,-2.115743,-1.0,1
0.438973,-1.112339,-1.0,1
-0.824083,-1.053851,-1.0,0
-0.067308,0.136274,1.0,1
-0.34967,1.718072,1.0,1
-0.02257,1.177647,1.0,1
0.640687,-0.022562,1.0,0
0.470165,0.018875,-1.0,0
0.282371,-0.690302,1.0,0
-0.236758,-0.09586,-1.0,1
0.921696,-0.089916,-1.0,1
-1.139381,1.848883,1.0,1
-0.263973,0.371175,1.0,1
0.596005,0.550127,1.0,1
-0.764946,0.796545,-1.0,1
0.811016,0.806682,1.0,1
0.338605,1.173562,1.0,1
-1.466566,-0.307169,-1.0,1
0.367159,0.493182,1.0,1
-0.300937,0.801293,-1.0,1
-0.656946,-0.861269,-1.0,0
0.996416,-0.167339,-1.0,1
1.740142,1.198792,1.0,1
-0.44118,0.773649,1.0,1
0.097552,-0.608636,-1.0,1
-0.509719,0.571153,-1.0,0
-0.182898,-0.049017,-1.0,0
0.232645,-0.054958,1.0,1
0.349792,-0.491896,1.0,0
-2.455302,0.814709,-1.0,1
0.182863,0.403036,1.0,0
-1.323432,-0.644426,-1.0,1
-2.020225,0.701466,-1.0,1
0.217131,-1.213477,-1.0,1
-0.198886,0.277663,1.0,1
0.255793,-0.827685,-1.0,0
-1.126687,1.013307,1.0,1
-0.548328,1.229411,1.0,0
-0.034796,0.47188,-1.0,1
0.838385,-0.798524,-1.0,0
2.490887,-0.671694,-1.0,0
-2.735212,0.771499,-1.0,1
-0.080593,-1.006849,-1.0,1
1.149451,-0.703466,-1.0,1
1.76334,0.361215,1.0,1
0.291269,0.245748,-1.0,1
0.779205,0.327539,-1.0,1
-0.158285,-0.489723,-1.0,0
-0.286102,0.026029,1.0,1
1.770649,-2.159655,-1.0,0
0.497013,1.098961,1.0,1
-2.023728,0.501231,-1.0,1
0.283139,1.059769,-1.0,1
1.005299,-1.13839,1.0,1
-0.617723,0.021208,1.0,1
0.210905,0.993534,-1.0,0
2.161912,0.671863,1.0,0
0.31359,-0.869598,-1.0,1
1.783983,-0.054792,1.0,1
1.130646,-0.563592,1.0,1
1.805889,-0.922078,1.0,1
-0.032888,-0.665132,-1.0,1
2.227221,-1.208825,-1.0,0
-1.443357,0.438217,1.0,1
-0.569718,-0.278393,1.0,1
1.115714,-0.988952,-1.0,0
0.954522,0.495691,1.0,1
-0.037962,0.731024,1.0,1
-0.750852,2.609947,1.0,1
-0.905146,1.399794,1.0,1
-0.074691,0.194786,1.0,1
0.030986,0.68651,1.0,0
-2.158965,0.880369,1.0,1
0.309652,-0.265153,1.0,0
-1.52473,0.547975,1.0,1
1.019878,-0.410278,1.0,1
1.069303,0.031137,1.0,1
-0.668551,-1.405619,-1.0,0
-0.430919,0.652724,1.0,0
0.634403,0.089599,1.0,0
0.742362,-2.173598,-1.0,0
-0.069489,0.403667,1.0,1
-1.165572,-0.568962,-1.0,1
-3.405967,0.855046,1.0,0
-0.879834,-0.833727,-1.0,1
0.568561,0.305896,1.0,0
-0.356868,-0.906775,-1.0,1
-0.171709,0.668255,1.0,1
0.051432,-0.804109,-1.0,1
0.539098,0.607425,1.0,1
0.103674,0.849049,1.0,1
0.088976,-0.187538,1.0,0
0.521099,0.948132,1.0,1
-0.804245,-0.642532,-1.0,1
0.2653,-1.486444,-1.0,1
0.463906,-0.01443,-1.0,1
2.072375,-0.665105,-1.0,1
-0.897605,0.231286,-1.0,1
0.410725,0.130675,1.0,1
0.279586,-1.215796,1.0,1
-0.656199,0.844061,1.0,1
0.977973,-0.083517,1.0,1
-0.090128,-0.517315,-1.0,1
0.530854,-0.90008,-1.0,1
-0.634489,-0.156645,-1.0,1
-0.804341,0.648688,1.0,1
-1.878427,-0.228083,-1.0,1
-0.366289,-1.202945,1.0,0
0.652989,0.88559,1.0,1
0.222676,-0.380165,1.0,0
0.710957,-0.510044,1.0,0
-2.222051,-0.605181,-1.0,0
1.604565,-0.191935,1.0,1
0.805416,1.249528,1.0,1
0.039668,-0.507589,-1.0,1
-0.524033,-0.288393,-1.0,1
-2.680363,2.167447,1.0,1
1.431767,0.097616,1.0,1
1.88232,-0.505128,-1.0,0
0.256189,0.27555,1.0,1
0.832008,-0.430293,1.0,1
0.407698,0.938347,1.0,1
-0.103638,0.460018,1.0,1
1.563119,-0.977683,1.0,1
1.432064,-1.129535,-1.0,0
0.056347,0.13129,1.0,1
-1.010377,1.367758,1.0,1
0.06647,-1.111558,-1.0,1
-0.322365,-1.944511,-1.0,0
-0.056128,-0.913904,1.0,0
0.822486,0.567842,1.0,1
1.489199,0.231223,1.0,1
0.596906,-1.106134,-1.0,1
1.695855,-0.383897,1.0,1
-0.516279,-1.389695,-1.0,1
0.719831,-0.101504,1.0,1
-0.361363,0.369604,-1.0,1
-0.416651,-0.110269,1.0,1
0.674424,-0.861915,-1.0,0
-1.064329,-0.939769,-1.0,0
-0.723643,-0.698362,-1.0,0
-0.021234,0.473305,1.0,1
-0.667026,-1.159409,1.0,0
-0.394429,-1.166201,-1.0,1
0.338311,1.675661,1.0,1
1.158838,-1.091534,1.0,1
-1.77155,0.674241,1.0,1
-0.031881,-1.771976,-1.0,0
1.220092,-1.087378,-1.0,1
1.298463,-0.058945,1.0,1
-0.333127,-1.751385,-1.0,0
1.747072,0.229641,1.0,1
-0.035736,0.55763,-1.0,1
1.778325,-1.170374,1.0,0
1.213068,0.07833,-1.0,0
-1.171738,0.688453,-1.0,1
1.543394,-1.023074,-1.0,0
-0.370274,0.036244,1.0,0
-0.283468,-0.091857,1.0,1
0.318471,-2.254396,-1.0,0
-0.644444,0.869136,1.0,0
1.126681,-1.639725,-1.0,0
0.224813,0.279843,1.0,1
-0.369739,1.90473,1.0,1
0.410006,-0.069367,1.0,1
0.363992,1.489644,1.0,1
2.458628,-0.263495,1.0,1
-1.484213,2.692788,1.0,1
0.909188,-0.067926,-1.0,1
1.040369,-0.325184,-1.0,1
-0.497293,-0.226785,-1.0,0
-1.114086,1.172142,1.0,1
-1.597743,-1.060908,-1.0,0
-0.485947,0.666341,-1.0,1
-1.084827,-1.503006,-1.0,0
1.873196,0.976906,1.0,0
1.191099,-0.929145,-1.0,0
-0.031705,0.1624,1.0,1
0.49922,-1.217661,1.0,0
0.428792,0.311361,1.0,1
0.190507,-0.717265,-1.0,1
0.41263,-0.832445,1.0,1
1.117372,-0.489285,-1.0,0
0.177866,1.146001,1.0,1
-0.427605,-0.871975,-1.0,1
-0.405775,-0.605561,-1.0,1
1.120938,-0.15499,1.0,1
-1.140889,0.261075,-1.0,1
-0.554508,-0.06886,1.0,1
0.489924,0.025133,-1.0,1
-0.2485,-0.415056,-1.0,0
1.720771,1.123878,-1.0,1
0.59183,0.271172,1.0,1
-0.484604,1.070721,1.0,1
2.101048,0.670319,1.0,1
-0.66989,0.237617,1.0,1
0.510583,-0.728196,-1.0,0
0.363191,-0.271519,1.0,1
1.091755,-2.70485,-1.0,0
0.833064,1.56451,1.0,1
0.173645,-0.428647,1.0,1
-0.20162,-0.484607,-1.0,1
0.634748,-2.026356,-1.0,1
0.144411,-0.543787,1.0,0
0.380737,1.078674,1.0,1
-0.60775,-2.17603,-1.0,0
-1.596184,1.469835,1.0,1
0.633626,1.0884,1.0,1
-0.171734,-0.462133,-1.0,1
-0.488273,-0.144768,-1.0,1
-0.515439,-0.055108,-1.0,0
-0.772437,-0.285717,-1.0,1
0.454721,0.591296,1.0,0
-0.656489,-0.118974,-1.0,1
0.690404,0.249052,1.0,1
-0.005423,1.367212,1.0,1
0.978732,0.389619,1.0,1
-1.149852,0.389937,1.0,0
0.624934,-1.629717,1.0,1
-0.730561,0.470473,1.0,1
0.303864,1.004893,-1.0,1
-1.186106,-1.283306,-1.0,1
-0.754274,-0.04373,-1.0,1
0.486076,-1.370851,1.0,0
-0.05573,1.007352,-1.0,1
-1.030981,0.067636,-1.0,0
-0.076062,0.58353,1.0,1
-0.510395,1.740242,1.0,1
-0.271291,-1.32399,-1.0,1
1.309784,-1.155149,-1.0,0
-0.217549,0.176305,-1.0,1
0.842503,0.122365,-1.0,1
-0.039365,-0.610321,-1.0,1
0.235731,1.063233,1.0,1
-0.154038,-0.27413,-1.0,1
-0.748046,0.753098,-1.0,1
1.710118,-0.474201,1.0,0
-1.131531,2.108172,1.0,1
1.139306,-0.06233,1.0,1
-0.001849,0.138109,1.0,1
0.051575,-0.59858,-1.0,1
-0.771725,-0.663006,-1.0,0
0.777978,-2.130436,-1.0,0
-0.464789,1.150252,1.0,1
1.313252,-1.495383,-1.0,1
-0.797219,0.350925,-1.0,1
0.16554,-1.084646,1.0,0
-0.283565,0.084272,1.0,0
0.391414,-1.981294,-1.0,0
-0.12967,-0.445045,1.0,0
0.297579,-0.898064,-1.0,0
0.471587,0.480382,1.0,1
-0.401,-0.74376,-1.0,0
-0.168964,-1.280524,-1.0,0
-2.65893,1.40125,-1.0,1
-1.175076,-0.140649,-1.0,1
0.758712,-0.889841,-1.0,0
2.282768,-1.14422,1.0,1
-1.30625,1.24029,-1.0,1
-1.163511,1.115931,-1.0,1
-0.142195,0.380544,1.0,1
0.415035,1.857053,-1.0,1
-1.145472,0.047018,-1.0,1
0.289734,-0.066619,1.0,0
-1.195984,-0.48631,-1.0,1
1.25349,0.363894,1.0,1
-1.553859,0.728149,-1.0,1
-1.193699,0.419657,1.0,1
-0.037117,0.365542,-1.0,1
1.471994,-1.318774,-1.0,0
0.751426,-0.863196,-1.0,1
-0.759435,-0.036943,1.0,1
-0.473181,2.731292,1.0,1
-0.827235,-0.564827,-1.0,1
0.987607,0.691355,1.0,1
0.104405,-1.880057,-1.0,0
3.174273,-1.469368,1.0,0
-0.380164,1.744953,1.0,1
-1.279564,3.863035,1.0,1
-0.152838,0.323053,1.0,1
0.264609,-1.282493,-1.0,0
-0.08163,-1.202615,1.0,0
-0.198583,0.913645,-1.0,0
1.17236,0.119233,1.0,0
-0.638184,-1.096958,-1.0,1
0.511439,-0.46079,1.0,1
1.320056,-1.043696,-1.0,0
-1.263325,-0.237761,1.0,1
0.980623,0.777071,1.0,1
0.791894,-0.041968,1.0,1
-0.056892,1.265178,1.0,1
-1.641022,-0.984864,-1.0,1
0.011075,0.973692,1.0,0
-0.574918,-0.877545,-1.0,1
0.426028,-0.834062,-1.0,1
-0.170925,-0.674421,-1.0,1
1.019571,-0.052936,-1.0,1
0.706816,0.67804,1.0,1
0.441923,0.904475,1.0,1
-2.18487,2.328606,1.0,1
0.97058,0.876372,1.0,1
0.009051,0.096882,-1.0,1
-0.170249,1.52781,1.0,1
0.658478,-1.155531,-1.0,0
-1.186641,1.711437,1.0,1
0.516585,-0.455333,-1.0,1
-1.442496,2.490217,1.0,1
-1.793129,-1.182713,-1.0,0
1.014043,-0.456926,-1.0,0
0.203559,-0.02412,1.0,0
-0.807957,0.692474,1.0,0
0.73129,1.452412,1.0,0
0.301278,1.114531,1.0,0
-0.709818,-1.423128,-1.0,1
0.567398,1.549093,1.0,1
-1.99761,0.742591,-1.0,1
0.277262,-0.904078,-1.0,1
0.932608,0.013026,-1.0,1
0.328402,-0.341064,1.0,1
0.652389,1.120391,1.0,0
0.614243,0.030053,1.0,0
0.669522,-0.958352,1.0,0
0.086223,-1.10633,-1.0,0
1.547957,-1.671306,1.0,0
0.179144,0.865072,1.0,1
-1.235162,0.150328,1.0,1
-0.326257,-0.262941,-1.0,0
0.690347,-0.500216,-1.0,0
-1.768684,0.485059,-1.0,1
-0.897523,0.905216,-1.0,0
0.535195,1.818613,1.0,1
-1.095667,0.562223,1.0,0
2.222522,-2.332836,-1.0,0
0.202921,-0.119578,-1.0,0
0.187085,-0.490226,1.0,1
-1.447564,-0.404062,-1.0,1
0.626456,1.405777,1.0,1
1.038043,0.936564,1.0,1
-0.28094,-0.728211,-1.0,1
-0.926212,-0.061876,-1.0,1
-0.349907,0.268542,-1.0,1
-1.649685,-0.191666,1.0,1
0.286142,-0.401076,-1.0,1
0.574833,0.907702,1.0,0
0.423694,0.260624,1.0,1
-0.297077,-0.02974,-1.0,0
-0.791837,3.228314,1.0,1
0.594314,1.067206,1.0,1
-0.676901,-0.118533,1.0,1
2.054359,-0.580946,-1.0,0
-0.095412,-0.31378,-1.0,1
-0.293209,0.771726,1.0,1
-0.687377,0.528779,1.0,1
-0.602646,0.476406,1.0,1
1.587698,1.006446,1.0,0
0.206186,0.800585,-1.0,1
-2.237618,0.604827,1.0,1
-1.424594,-0.483311,-1.0,1
-0.994847,-0.785466,-1.0,0
-0.049573,1.577069,1.0,1
-2.327585,1.050342,1.0,1
1.380605,-1.527996,-1.0,1
-0.865946,0.943101,-1.0,1
1.180118,-1.246131,1.0,1
0.062507,0.728877,1.0,1
0.05505,1.874364,1.0,1
-1.42055,0.705576,1.0,0
0.759242,0.012172,1.0,0
1.161951,-0.095821,1.0,1
0.471263,-0.413575,-1.0,1
-1.961302,-2.284383,-1.0,0
-0.051019,-0.774738,1.0,1
0.995549,0.697082,1.0,1
0.67153,-1.081538,-1.0,1
-1.6406,-1.171704,-1.0,0
0.30022,-0.956083,-1.0,1
0.442862,0.962337,1.0,1
0.989982,-0.66743,1.0,1
-1.520029,-1.086785,-1.0,1
2.43154,-0.967615,1.0,1
-1.026794,0.347318,-1.0,1
1.382686,-0.743158,1.0,1
-1.962903,0.671669,-1.0,1
0.315552,-0.695419,-1.0,1
-0.485219,0.734334,-1.0,1
-0.776695,2.095091,1.0,1
-0.727779,-1.643896,-1.0,0
0.929168,-0.460943,-1.0,1
-0.671814,0.439524,-1.0,0
0.034593,0.760857,1.0,1
-0.499513,0.599321,1.0,1
0.693464,0.057846,-1.0,0
0.441079,0.512488,1.0,1
1.204722,-1.355656,-1.0,0
-0.435882,1.15752,1.0,0
-0.264822,0.477918,-1.0,1
1.467196,-0.572302,1.0,1
0.080962,0.986159,1.0,0
-1.586614,0.651977,1.0,1
-1.132921,0.851739,1.0,1
1.029604,-1.61817,-1.0,1
1.333297,-0.645981,-1.0,0
-0.269609,0.574209,1.0,1
0.338643,-0.817467,1.0,0
-0.327778,-0.141273,-1.0,1
-0.584798,-0.88003,-1.0,1
-0.819889,0.378812,1.0,1
0.207534,0.64359,-1.0,1
1.974893,0.650646,1.0,1
-0.013981,1.292149,-1.0,0
0.423872,1.917132,1.0,1
-0.961316,0.280738,1.0,1
-1.206554,-0.146984,-1.0,1
-0.090895,1.059143,1.0,1
1.661693,-0.592899,-1.0,1
0.684389,0.711054,1.0,1
0.269989,0.53981,1.0,1
0.927363,-0.805608,-1.0,1
-0.638893,1.324345,-1.0,0
-0.704875,-0.94392,-1.0,0
0.171072,-1.785818,-1.0,0
-1.12956,0.55766,-1.0,1
1.403066,0.257703,1.0,1
1.134499,-0.429656,-1.0,1
1.632464,0.555146,1.0,0
-0.571412,0.904385,-1.0,1
0.12011,0.216241,1.0,1
1.87544,1.126483,1.0,1
0.924821,-0.236633,-1.0,1
0.915972,-0.373523,-1.0,0
0.608238,0.300707,1.0,1
-0.324922,0.179522,-1.0,1
0.816085,1.687649,1.0,1
-0.212992,-0.064019,1.0,1
2.363484,-0.269844,-1.0,1
0.059898,-0.08287,1.0,1
0.112332,-0.444605,-1.0,1
-0.986352,0.247574,1.0,1
-0.047452,-0.404072,-1.0,1
-0.313385,-0.365378,-1.0,1
0.489329,-0.867098,-1.0,1
1.293949,-0.918019,1.0,0
-2.347531,2.815778,1.0,1
-1.663916,-0.092122,-1.0,1
-1.229615,1.33807,1.0,1
1.3998,-0.297947,-1.0,1
1.411252,0.020574,-1.0,1
0.669801,1.487943,1.0,1
0.29948,0.355155,1.0,1
0.46814,0.780106,1.0,1
-0.438589,-0.153838,-1.0,0
0.568189,-0.944135,-1.0,1
0.914591,-0.378851,-1.0,0
0.084161,-1.025427,-1.0,0
0.148173,0.913725,1.0,0
0.379519,1.106994,1.0,1
-1.005587,0.132327,-1.0,0
-0.723087,3.009488,1.0,1
0.316041,-0.987537,-1.0,1
-0.115026,-0.743528,-1.0,1
0.533141,-0.368517,-1.0,1
-0.777726,2.264006,1.0,0
2.235861,-0.343277,-1.0,1
-0.529936,-1.360621,-1.0,0
-1.015487,1.193383,1.0,1
-0.337769,-1.342352,-1.0,1
-0.606714,-0.332354,-1.0,1
-0.20443,-0.972435,-1.0,1
-0.192231,-0.055244,-1.0,1
1.098407,0.300508,1.0,1
0.390956,1.301933,1.0,1
2.145285,0.647138,1.0,1
0.52666,0.192496,1.0,1
2.349475,-0.186814,1.0,1
0.02336,0.677456,1.0,0
0.354085,0.55887,1.0,1
-0.136966,0.444351,-1.0,1
0.712,-1.054661,-1.0,1
0.714741,-0.556171,-1.0,1
-0.809526,-0.192523,1.0,1
0.536201,-1.470055,-1.0,0
0.417827,-0.593151,-1.0,0
-0.849767,0.937022,1.0,1
1.917629,-0.637769,-1.0,1
-0.357491,-1.668111,-1.0,0
-1.452027,0.264412,-1.0,1
0.434778,-0.24323,1.0,1
0.362551,0.049774,1.0,1
0.275599,-0.058815,1.0,1
-1.691104,-0.940201,1.0,0
0.783906,-1.656,1.0,1
-0.181255,0.138483,-1.0,1
-0.343681,-0.140023,1.0,0
1.646882,0.178113,-1.0,1
-0.18517,-0.326042,-1.0,1
-0.785464,0.044161,-1.0,1
-0.534531,0.399377,1.0,1
-0.548889,-0.185011,-1.0,1
-1.369505,0.208811,-1.0,1
0.547747,0.297069,1.0,0
-0.043786,1.850024,1.0,1
-0.611098,1.096272,-1.0,1
0.135776,0.136912,1.0,1
0.26926,1.199636,1.0,1
-0.296814,-0.065731,-1.0,1
-0.764431,1.08873,1.0,1
-1.152177,-0.45047,-1.0,0
-0.07486,0.657508,1.0,1
-1.561022,0.264219,-1.0,1
-0.619524,-0.96379,-1.0,1
0.514849,-0.127229,-1.0,0
-1.598618,-0.694619,-1.0,0
0.576264,1.509535,1.0,1
0.735403,-0.658581,-1.0,0
0.004385,1.680554,1.0,1
0.489207,0.49267,1.0,1
0.982191,0.031085,1.0,1
1.278203,0.157378,1.0,1
0.242338,-0.589152,1.0,0
1.1711,-0.148273,-1.0,1
0.544025,0.729944,1.0,1
1.485974,-0.498176,-1.0,1
-1.968358,2.099415,1.0,1
-0.144418,0.67236,-1.0,1
0.277579,0.125532,1.0,1
-0.71509,1.244915,1.0,1
-0.333203,0.460795,1.0,1
1.74567,1.316334,1.0,1
0.78861,-1.207934,1.0,1
-0.580416,-0.758392,-1.0,0
-1.598857,-0.138643,-1.0,0
0.235194,-1.025666,-1.0,1
1.176945,-0.344777,-1.0,0
1.061082,0.950794,1.0,0
-0.56008,0.993468,1.0,1
0.515691,-0.096295,1.0,1
-0.135874,0.134067,-1.0,1
0.065024,1.533228,1.0,0
-1.265859,-0.237152,1.0,1
0.041829,0.666183,1.0,0
-0.706671,-0.348249,-1.0,1
-1.393879,1.436585,1.0,1
-0.386425,-0.187793,-1.0,0
-0.543368,0.850959,1.0,1
-0.018084,-1.408136,-1.0,0
0.031904,-0.920104,-1.0,1
-1.473263,1.014319,1.0,1
0.679493,-0.546572,1.0,0
1.157647,-0.530089,-1.0,1
1.212015,-0.031003,1.0,0
0.311256,1.28145,1.0,1
-1.033234,-1.233867,-1.0,1
-0.848767,0.844746,1.0,1
0.557999,-2.424382,-1.0,0
1.555736,0.881654,1.0,1
-0.579715,0.363624,-1.0,1
0.508486,0.53552,1.0,1
0.212155,-1.150579,-1.0,1
-1.297123,0.777608,-1.0,1
-0.914327,-0.82887,-1.0,1
-2.365731,0.047907,-1.0,1
-1.064697,0.55777,1.0,1
0.334058,1.744524,1.0,1
1.651565,-0.908023,-1.0,1
-0.245135,-0.379982,-1.0,0
-0.144006,-0.767136,1.0,0
-0.143326,1.930367,1.0,1
0.432168,-1.9369,-1.0,0
0.323791,-1.559745,-1.0,0
-0.28797,2.427143,1.0,1
1.433095,-0.078803,1.0,0
0.677806,-0.300348,1.0,0
1.245279,-1.33513,-1.0,1
-0.70928,-1.20912,1.0,0
-1.0994,-1.464778,-1.0,0
-0.805879,-0.122298,1.0,0
-0.590115,1.569219,1.0,1
1.480463,0.691196,1.0,1
