X1,X2,Z,Y
1.070674,-1.212499,-1.0,1
-1.347608,0.349151,-1.0,1
-1.144573,0.932724,1.0,1
1.152149,-1.566396,-1.0,0
0.497785,0.028922,1.0,0
-0.44511,-1.312828,-1.0,0
-0.054343,0.110265,-1.0,1
-0.781867,1.052467,-1.0,0
0.373415,-1.213427,-1.0,1
1.694458,-2.117527,1.0,0
-0.160664,0.019708,-1.0,1
-1.449647,0.181721,-1.0,1
-1.361968,-0.675601,-1.0,1
-0.249236,-0.233054,-1.0,1
0.247955,-0.629964,-1.0,0
-0.586257,-2.077907,-1.0,1
-1.849204,1.734585,1.0,1
0.070018,-0.065201,1.0,1
0.751153,-0.965288,-1.0,0
-0.244101,0.378799,1.0,1
-1.508449,0.873483,-1.0,0
-1.434054,1.191184,-1.0,1
-1.188062,2.209326,1.0,1
0.085851,0.327351,-1.0,1
1.66186,-0.919176,1.0,0
1.923295,-2.358528,-1.0,0
-1.531878,-0.079859,-1.0,1
-0.019882,-0.461211,-1.0,1
-1.169627,-0.199596,-1.0,0
-1.291741,0.962589,1.0,1
-0.337432,0.669234,1.0,0
-0.441848,1.586598,1.0,1
-0.937145,0.375447,-1.0,0
-0.335633,1.509467,1.0,1
-1.652354,0.484281,-1.0,1
0.890441,0.054279,1.0,1
-0.246262,-1.217733,-1.0,0
-0.182393,0.144237,-1.0,1
0.414143,0.139847,-1.0,0
0.552961,-0.541932,-1.0,1
-0.339669,0.42366,-1.0,1
0.489543,-1.022609,1.0,1
-1.268486,1.044616,1.0,1
-0.708491,2.178285,1.0,1
-0.02521,-0.404051,-1.0,1
-0.023527,0.291919,-1.0,0
0.375368,0.750416,1.0,0
0.847865,0.056832,1.0,1
0.364193,-0.392676,-1.0,0
0.242771,-1.305158,-1.0,0
-1.337012,1.010525,1.0,1
1.901436,-0.97021,1.0,0
-1.386962,0.328521,-1.0,1
-2.424037,-0.037724,1.0,0
-0.274862,-0.270161,-1.0,1
0.311762,0.115278,-1.0,1
-1.749855,1.191084,1.0,1
0.18498,-0.267951,-1.0,0
0.977993,0.629262,1.0,1
1.744324,-0.082901,-1.0,1
-0.582158,0.568959,-1.0,0
0.710876,0.271465,1.0,1
0.117867,1.372732,1.0,1
-2.028314,-0.92302,-1.0,1
0.275292,-0.115534,1.0,1
2.38903,-1.659366,-1.0,0
-0.590469,-0.506333,1.0,1
0.473596,0.012784,1.0,1
1.965459,-1.832913,1.0,0
-0.147912,0.090223,-1.0,1
0.353361,-0.639404,-1.0,1
0.168717,-0.30012,-1.0,0
-0.992834,-0.140403,-1.0,1
0.961696,-0.792115,-1.0,1
-0.99136,1.060339,-1.0,1
0.491138,0.32547,1.0,1
-0.594987,-1.022121,-1.0,1
-0.058862,-0.236072,-1.0,1
-0.793396,0.248553,-1.0,0
-1.488154,1.444881,1.0,1
0.726648,-0.799675,-1.0,1
0.769546,-0.515175,-1.0,1
0.955749,-1.815223,-1.0,1
-1.284289,1.259155,1.0,1
1.010852,-1.304853,-1.0,0
0.282928,1.113117,1.0,1
-1.514981,-0.303452,-1.0,1
-0.186965,0.65601,1.0,1
0.224235,-1.740763,-1.0,1
0.840287,-1.27959,-1.0,0
-2.130174,1.407634,1.0,1
-1.337012,1.010525,1.0,1
-1.514408,1.143702,-1.0,1
-1.099686,2.073653,1.0,1
-0.095217,0.953809,1.0,1
-0.749562,0.700291,-1.0,0
0.957531,-0.631068,1.0,1
0.447695,-0.164452,1.0,1
1.10983,-0.528373,1.0,1
-1.578268,0.916262,-1.0,1
0.851586,0.115961,-1.0,1
-0.137964,0.706645,1.0,0
-1.234685,1.359737,1.0,1
0.721305,0.597508,1.0,1
0.320974,-0.021849,1.0,0
-1.815828,1.70788,1.0,1
-0.757419,0.03281,-1.0,1
0.719019,-1.835962,-1.0,0
0.06904,1.019127,1.0,1
0.404972,0.44947,1.0,1
-0.554158,-0.661905,-1.0,0
0.335041,-0.983166,-1.0,0
-0.868513,0.590648,1.0,1
0.97138,-0.953973,1.0,0
0.977391,-0.90081,-1.0,1
1.15603,-0.723056,1.0,1
0.045038,0.995019,1.0,1
0.105835,0.189498,-1.0,1
-1.099686,2.073653,1.0,1
0.420169,-1.776887,-1.0,0
1.263483,-1.049336,1.0,0
0.406338,1.332805,1.0,1
2.350535,-0.495247,1.0,0
0.077714,-0.087313,1.0,1
-0.388504,-1.863261,-1.0,0
1.692289,-1.065633,1.0,0
-0.24925,0.858757,1.0,1
-0.930961,1.799285,1.0,1
-0.95565,0.167028,-1.0,1
1.203279,-1.681095,-1.0,0
0.696949,-0.363478,1.0,0
0.115255,0.660223,-1.0,0
-1.434054,1.191184,-1.0,1
1.205932,-0.198639,1.0,1
1.141369,0.17358,-1.0,1
0.259231,-0.187837,-1.0,1
0.0196,0.038892,1.0,0
-0.358258,0.567598,1.0,1
-0.232441,-0.230334,-1.0,1
0.565219,-0.416446,1.0,1
0.489979,0.055215,1.0,1
0.112936,-0.863134,-1.0,0
1.06896,0.492596,1.0,1
-0.342345,-0.253687,1.0,0
-0.104487,0.4991,-1.0,1
-0.167248,0.02754,1.0,1
0.14602,-1.615634,-1.0,0
1.657607,-2.009516,-1.0,1
-1.964253,1.835049,1.0,1
0.240567,0.2168,1.0,1
-0.401797,0.681541,1.0,1
0.279064,0.056484,1.0,1
0.424765,0.107033,1.0,1
-1.030036,0.098109,-1.0,1
0.899328,-0.680381,1.0,1
0.175839,-0.1982,1.0,1
3.1832,-1.966254,1.0,0
0.502979,0.637321,1.0,1
-0.333055,0.870325,1.0,1
-0.203659,1.634228,1.0,1
-0.037094,0.389896,-1.0,0
-0.679827,-0.402201,-1.0,1
-0.083901,-0.709232,-1.0,1
0.633549,-1.088194,-1.0,0
-0.946068,1.048444,1.0,1
0.683325,0.028839,1.0,1
0.371295,-0.723714,-1.0,1
0.681484,-0.590308,1.0,0
0.239089,-0.326994,-1.0,0
-0.661155,0.320907,-1.0,1
0.61614,-1.253591,1.0,0
-0.229808,1.227206,1.0,1
-0.940844,-0.251679,-1.0,1
-0.248145,0.602072,1.0,1
0.139522,0.696028,-1.0,1
-2.144733,1.571569,1.0,1
-0.526272,-0.878148,-1.0,1
-0.654737,-0.33626,1.0,1
-0.742185,1.647174,1.0,1
-0.318649,0.316675,1.0,1
-0.649838,1.100543,1.0,1
-0.583223,0.753368,1.0,1
-0.098544,-0.088243,-1.0,0
-0.285735,1.182648,1.0,0
0.534282,-1.5356,-1.0,1
0.076782,-0.239707,1.0,0
-1.031312,-0.047906,-1.0,0
0.940084,-2.278514,-1.0,1
1.141369,0.17358,-1.0,1
0.964002,-0.779152,1.0,1
0.05464,-0.4403,1.0,0
-1.099283,0.758847,-1.0,1
0.456814,-1.693043,-1.0,0
1.076207,-0.919363,1.0,0
-0.649808,0.814317,-1.0,1
0.934964,-1.190393,1.0,1
-1.213901,1.360489,1.0,0
1.993603,-0.568452,1.0,1
-2.415686,2.8013,1.0,1
0.726648,-0.799675,-1.0,1
-0.289153,0.691388,1.0,1
0.228978,-0.208169,1.0,1
1.08121,1.108994,1.0,1
-0.074787,1.360899,1.0,1
0.274169,-0.250072,1.0,1
-0.137723,-0.657299,-1.0,1
0.873569,-0.029877,1.0,0
0.055453,-0.397497,-1.0,1
-1.174955,-0.137485,-1.0,1
1.068753,0.389205,1.0,1
-0.331198,-2.127763,-1.0,0
0.118536,-0.333255,-1.0,0
0.321999,1.804884,1.0,1
-0.947735,0.670297,-1.0,1
1.31434,1.083757,1.0,1
1.125407,-1.140551,-1.0,0
0.722306,-0.151848,1.0,1
0.133273,0.657867,1.0,1
-0.039928,0.164347,1.0,1
1.62224,-1.514428,-1.0,1
0.412602,-1.756172,-1.0,0
0.275529,-0.380475,-1.0,1
-0.064405,1.637065,1.0,1
1.165173,-1.413134,-1.0,0
-1.554244,0.485667,-1.0,0
-0.027293,1.19463,1.0,1
-1.116646,0.598689,1.0,0
-1.17556,0.494544,1.0,0
0.6726,0.211239,1.0,1
-0.587907,-0.209166,-1.0,0
1.063941,0.675668,1.0,1
0.678573,0.469804,1.0,1
-1.198358,1.856199,1.0,1
0.097598,0.717289,1.0,1
-1.688474,0.570768,-1.0,1
-0.52046,0.761576,1.0,1
1.32144,-2.950545,-1.0,1
0.045088,0.523219,1.0,1
-0.682211,0.134377,-1.0,1
-1.418403,-0.028361,-1.0,0
2.243765,-2.066804,-1.0,0
1.407965,-0.658195,1.0,0
-0.133087,1.093777,1.0,1
-0.136484,-0.708767,1.0,0
0.743291,-2.123407,-1.0,0
-0.874442,1.068347,-1.0,1
-0.695201,0.709762,1.0,1
-0.756863,0.019596,-1.0,1
-0.728298,1.637303,1.0,1
0.741527,-1.420317,-1.0,1
0.298585,-1.298687,-1.0,1
0.426061,-0.585682,1.0,1
1.017507,-1.853095,-1.0,0
0.952291,-1.129351,1.0,0
-0.650949,-0.908488,-1.0,1
-0.751482,-0.15782,1.0,1
-1.003135,1.549803,1.0,1
0.68517,0.687032,1.0,1
-0.526747,0.887544,-1.0,1
0.715185,-1.425447,-1.0,0
1.090769,-0.530531,1.0,0
-0.314978,-0.188875,1.0,0
-1.039702,1.165527,-1.0,1
0.47632,-0.324382,-1.0,1
0.534837,0.610324,1.0,1
-0.812583,0.583766,1.0,1
1.168227,-0.707213,-1.0,0
-0.531804,0.070321,1.0,1
-0.142068,1.081862,1.0,1
-0.448767,-2.07845,-1.0,0
0.908419,-0.032335,-1.0,1
-1.843127,0.965361,-1.0,1
-0.233203,-0.728385,-1.0,1
-0.85097,0.565535,1.0,1
1.015858,-0.099519,1.0,1
-0.183191,1.452536,1.0,0
-0.479808,0.273137,1.0,1
-1.920412,1.348171,1.0,1
0.046567,-0.725052,-1.0,0
0.06992,-1.398814,-1.0,1
-2.379769,2.159118,-1.0,1
2.227376,-1.567879,-1.0,1
-0.309734,0.27665,-1.0,0
-1.352548,-0.500462,-1.0,0
-1.328598,2.759014,1.0,1
0.763668,-0.543196,-1.0,1
-1.14882,0.934952,1.0,1
0.043499,-0.128941,1.0,1
-0.444872,0.732393,1.0,1
0.476959,-1.394712,-1.0,0
0.551074,-0.241352,1.0,0
1.425291,0.051779,1.0,0
0.841228,-0.066055,1.0,0
-0.79528,1.301552,1.0,0
-0.16418,0.577708,-1.0,1
0.861477,-1.656083,-1.0,0
1.916834,-1.776607,-1.0,0
0.296398,-0.094614,1.0,0
-0.149956,-0.194501,1.0,1
0.345633,0.075643,1.0,1
0.255781,-0.348819,-1.0,1
1.28757,0.071428,1.0,1
0.006767,0.405467,-1.0,1
-0.65316,0.763565,-1.0,1
0.569013,1.275301,1.0,1
-1.169585,2.163506,1.0,1
1.200377,-1.349614,-1.0,1
-0.613729,0.918452,1.0,1
-0.44427,-0.905404,-1.0,0
-0.926402,0.571209,-1.0,1
-0.303536,-0.301276,-1.0,1
1.181514,-0.901269,1.0,0
-0.488595,0.246707,1.0,1
0.140636,-0.547495,-1.0,1
0.972013,-1.482024,1.0,1
-1.063983,-0.795782,-1.0,0
1.093935,1.513007,1.0,1
0.116465,-0.852189,-1.0,0
0.052123,-0.557585,-1.0,1
-2.288449,0.40904,1.0,1
-0.386458,-0.389003,-1.0,1
-0.162936,-0.299605,-1.0,1
-0.941024,0.875339,1.0,1
-0.503944,1.106343,1.0,1
-1.347216,0.611625,-1.0,1
-1.734204,1.581669,-1.0,1
0.210345,-0.163503,1.0,1
1.242759,-0.938795,-1.0,0
1.346303,-0.110563,1.0,1
1.038063,-0.55243,-1.0,0
0.222544,-0.447579,1.0,0
1.920937,-0.991964,1.0,0
0.501652,-0.300736,-1.0,1
0.672165,-1.144859,-1.0,1
0.609683,-1.701773,-1.0,1
0.674968,-1.136232,-1.0,0
0.091872,0.445807,1.0,1
-0.632711,1.249776,1.0,1
-2.03123,2.949289,1.0,1
-0.595407,0.97297,1.0,1
-0.76038,-1.0343,-1.0,0
-1.877736,1.678201,-1.0,1
-2.364089,-0.276503,-1.0,0
0.360784,0.037435,1.0,1
0.117097,-0.672496,-1.0,0
1.228634,-1.743687,-1.0,0
2.261713,-1.805428,1.0,0
-0.374097,0.019947,-1.0,1
-1.174955,-0.137485,-1.0,1
-1.309128,-0.054478,-1.0,1
-1.177191,-0.332812,-1.0,0
1.309297,-1.073176,1.0,1
-0.589509,0.174452,-1.0,1
-1.657197,2.451922,1.0,1
0.436101,-0.459652,-1.0,0
0.384082,-0.136691,-1.0,1
0.607784,0.591767,1.0,1
0.242577,-0.766488,-1.0,1
0.865533,-0.690318,-1.0,1
1.362038,-0.786964,-1.0,0
0.980323,0.25026,1.0,0
-2.027844,0.35321,-1.0,1
0.183063,-0.863066,-1.0,1
-0.492798,1.092325,1.0,1
-0.608301,-1.016782,-1.0,1
0.882772,-0.92471,-1.0,1
-1.234412,0.328179,-1.0,1
-0.104487,0.4991,-1.0,1
2.851822,-1.59188,1.0,0
-0.940997,1.440898,1.0,1
0.036879,0.172432,1.0,1
0.725319,-0.135189,-1.0,0
-1.64243,1.768254,1.0,1
0.558047,0.337441,1.0,1
0.628054,1.106742,1.0,1
1.088044,-1.551312,-1.0,1
0.034439,-0.146321,-1.0,1
0.026961,0.473807,1.0,1
0.437358,0.827576,1.0,1
-0.42558,0.510324,1.0,1
-0.180569,0.151921,-1.0,1
-1.31041,0.207072,1.0,1
-2.388558,1.729599,-1.0,1
0.448564,1.056459,1.0,1
-0.812195,0.809381,1.0,1
0.158906,0.012144,1.0,1
-0.060497,1.519721,1.0,0
-0.064762,-1.233378,-1.0,0
0.565219,-0.416446,1.0,1
-0.219321,0.031311,-1.0,1
-1.492299,0.998225,-1.0,1
0.62313,-1.228556,-1.0,1
1.38681,-1.402252,-1.0,0
1.049335,0.37473,1.0,1
-1.207584,0.417316,-1.0,0
0.9419,-1.776901,-1.0,1
-0.077694,0.69817,1.0,1
1.319644,-0.047751,1.0,1
-0.450415,-0.499959,-1.0,0
1.505577,-1.428569,-1.0,1
0.021171,0.734712,1.0,1
1.46911,-2.598092,-1.0,0
-1.643434,0.257377,-1.0,0
0.612337,0.694251,1.0,1
0.381512,-0.130442,1.0,1
-1.606464,1.807977,1.0,1
0.676999,-1.419,-1.0,1
0.1833,0.952994,1.0,1
-0.188934,0.847316,-1.0,0
-0.703181,0.346183,-1.0,0
-0.159278,-0.219855,-1.0,1
-1.373674,1.374817,1.0,1
1.439144,-1.681011,1.0,1
0.099253,-1.253607,-1.0,0
2.388665,-1.186065,1.0,1
0.316946,-1.502928,-1.0,0
1.028005,0.567361,1.0,1
1.249618,-1.634572,-1.0,0
-0.52372,0.389077,-1.0,1
0.121532,-0.555688,1.0,0
-0.320235,-0.065134,-1.0,1
1.946982,-0.142562,1.0,0
-0.326411,-1.076926,-1.0,0
0.887539,-1.624859,-1.0,1
0.617303,-1.25557,1.0,0
0.539032,1.160518,1.0,1
0.677703,-1.974967,-1.0,0
0.074803,0.055031,-1.0,1
-1.015589,0.820107,-1.0,1
